#ID I L O Z T J S Perfect
1 1 2 3 4 0 0 0 0
2 1 2 3 0 4 0 0 1
3 1 2 3 0 0 4 0 1
4 1 2 3 0 0 0 4 0
5 1 2 4 3 0 0 0 1
6 1 2 0 3 4 0 0 1
7 1 2 0 3 0 4 0 1
8 1 2 0 3 0 0 4 1
9 1 2 4 0 3 0 0 1
10 1 2 0 4 3 0 0 1
11 1 2 0 0 3 4 0 1
12 1 2 0 0 3 0 4 1
13 1 2 4 0 0 3 0 0
14 1 2 0 4 0 3 0 0
15 1 2 0 0 4 3 0 1
16 1 2 0 0 0 3 4 0
17 1 2 4 0 0 0 3 0
18 1 2 0 4 0 0 3 0
19 1 2 0 0 4 0 3 1
20 1 2 0 0 0 4 3 1
21 1 3 2 4 0 0 0 0
22 1 3 2 0 4 0 0 0
23 1 3 2 0 0 4 0 1
24 1 3 2 0 0 0 4 0
25 1 4 2 3 0 0 0 1
26 1 0 2 3 4 0 0 0
27 1 0 2 3 0 4 0 1
28 1 0 2 3 0 0 4 0
29 1 4 2 0 3 0 0 1
30 1 0 2 4 3 0 0 1
31 1 0 2 0 3 4 0 1
32 1 0 2 0 3 0 4 1
33 1 4 2 0 0 3 0 1
34 1 0 2 4 0 3 0 1
35 1 0 2 0 4 3 0 1
36 1 0 2 0 0 3 4 1
37 1 4 2 0 0 0 3 0
38 1 0 2 4 0 0 3 0
39 1 0 2 0 4 0 3 0
40 1 0 2 0 0 4 3 1
41 1 3 4 2 0 0 0 1
42 1 3 0 2 4 0 0 1
43 1 3 0 2 0 4 0 1
44 1 3 0 2 0 0 4 1
45 1 4 3 2 0 0 0 1
46 1 0 3 2 4 0 0 0
47 1 0 3 2 0 4 0 1
48 1 0 3 2 0 0 4 0
49 1 4 0 2 3 0 0 1
50 1 0 4 2 3 0 0 1
51 1 0 0 2 3 4 0 1
52 1 0 0 2 3 0 4 1
53 1 4 0 2 0 3 0 1
54 1 0 4 2 0 3 0 0
55 1 0 0 2 4 3 0 1
56 1 0 0 2 0 3 4 1
57 1 4 0 2 0 0 3 1
58 1 0 4 2 0 0 3 0
59 1 0 0 2 4 0 3 0
60 1 0 0 2 0 4 3 1
61 1 3 4 0 2 0 0 1
62 1 3 0 4 2 0 0 1
63 1 3 0 0 2 4 0 1
64 1 3 0 0 2 0 4 1
65 1 4 3 0 2 0 0 1
66 1 0 3 4 2 0 0 1
67 1 0 3 0 2 4 0 1
68 1 0 3 0 2 0 4 1
69 1 4 0 3 2 0 0 1
70 1 0 4 3 2 0 0 1
71 1 0 0 3 2 4 0 1
72 1 0 0 3 2 0 4 1
73 1 4 0 0 2 3 0 1
74 1 0 4 0 2 3 0 1
75 1 0 0 4 2 3 0 1
76 1 0 0 0 2 3 4 1
77 1 4 0 0 2 0 3 1
78 1 0 4 0 2 0 3 1
79 1 0 0 4 2 0 3 1
80 1 0 0 0 2 4 3 1
81 1 3 4 0 0 2 0 0
82 1 3 0 4 0 2 0 0
83 1 3 0 0 4 2 0 1
84 1 3 0 0 0 2 4 0
85 1 4 3 0 0 2 0 1
86 1 0 3 4 0 2 0 1
87 1 0 3 0 4 2 0 1
88 1 0 3 0 0 2 4 1
89 1 4 0 3 0 2 0 1
90 1 0 4 3 0 2 0 0
91 1 0 0 3 4 2 0 1
92 1 0 0 3 0 2 4 0
93 1 4 0 0 3 2 0 1
94 1 0 4 0 3 2 0 1
95 1 0 0 4 3 2 0 1
96 1 0 0 0 3 2 4 1
97 1 4 0 0 0 2 3 1
98 1 0 4 0 0 2 3 1
99 1 0 0 4 0 2 3 1
100 1 0 0 0 4 2 3 1
101 1 3 4 0 0 0 2 0
102 1 3 0 4 0 0 2 0
103 1 3 0 0 4 0 2 0
104 1 3 0 0 0 4 2 1
105 1 4 3 0 0 0 2 0
106 1 0 3 4 0 0 2 0
107 1 0 3 0 4 0 2 0
108 1 0 3 0 0 4 2 1
109 1 4 0 3 0 0 2 1
110 1 0 4 3 0 0 2 0
111 1 0 0 3 4 0 2 0
112 1 0 0 3 0 4 2 1
113 1 4 0 0 3 0 2 1
114 1 0 4 0 3 0 2 1
115 1 0 0 4 3 0 2 1
116 1 0 0 0 3 4 2 1
117 1 4 0 0 0 3 2 1
118 1 0 4 0 0 3 2 1
119 1 0 0 4 0 3 2 1
120 1 0 0 0 4 3 2 1
121 2 1 3 4 0 0 0 0
122 2 1 3 0 4 0 0 1
123 2 1 3 0 0 4 0 1
124 2 1 3 0 0 0 4 0
125 2 1 4 3 0 0 0 1
126 2 1 0 3 4 0 0 1
127 2 1 0 3 0 4 0 1
128 2 1 0 3 0 0 4 1
129 2 1 4 0 3 0 0 1
130 2 1 0 4 3 0 0 1
131 2 1 0 0 3 4 0 1
132 2 1 0 0 3 0 4 1
133 2 1 4 0 0 3 0 0
134 2 1 0 4 0 3 0 0
135 2 1 0 0 4 3 0 1
136 2 1 0 0 0 3 4 0
137 2 1 4 0 0 0 3 0
138 2 1 0 4 0 0 3 0
139 2 1 0 0 4 0 3 1
140 2 1 0 0 0 4 3 1
141 3 1 2 4 0 0 0 0
142 3 1 2 0 4 0 0 1
143 3 1 2 0 0 4 0 1
144 3 1 2 0 0 0 4 0
145 4 1 2 3 0 0 0 0
146 0 1 2 3 4 0 0 0
147 0 1 2 3 0 4 0 0
148 0 1 2 3 0 0 4 0
149 4 1 2 0 3 0 0 1
150 0 1 2 4 3 0 0 0
151 0 1 2 0 3 4 0 0
152 0 1 2 0 3 0 4 0
153 4 1 2 0 0 3 0 1
154 0 1 2 4 0 3 0 0
155 0 1 2 0 4 3 0 1
156 0 1 2 0 0 3 4 0
157 4 1 2 0 0 0 3 0
158 0 1 2 4 0 0 3 0
159 0 1 2 0 4 0 3 0
160 0 1 2 0 0 4 3 0
161 3 1 4 2 0 0 0 1
162 3 1 0 2 4 0 0 1
163 3 1 0 2 0 4 0 1
164 3 1 0 2 0 0 4 1
165 4 1 3 2 0 0 0 1
166 0 1 3 2 4 0 0 0
